customer_id,month,revenue
CUST00280,2024-07,1332021.8
CUST00657,2024-07,1245109.2
CUST00546,2024-07,1167811.5
CUST00946,2024-07,1080964.9
CUST00096,2024-07,1039616.95
CUST00052,2024-07,1003266.45
CUST00372,2024-07,955945.1
CUST00224,2024-07,936564.75
CUST00924,2024-07,912950.7999999999
CUST00334,2024-07,817582.8
CUST00432,2024-07,787418.6
CUST00663,2024-07,782931.35
CUST00579,2024-07,745150.7
CUST00294,2024-07,741538.9
CUST00490,2024-07,669313.85
CUST00449,2024-07,658461.9
CUST00891,2024-07,613364.8
CUST00900,2024-07,611234.9
CUST00186,2024-07,608281.7
CUST00605,2024-07,607869.6
CUST00562,2024-07,581236.85
CUST00768,2024-07,573416.0
CUST00354,2024-07,569600.65
CUST00886,2024-07,569185.0
CUST00729,2024-07,566902.7
CUST00625,2024-07,561493.5
CUST00664,2024-07,551972.6
CUST00969,2024-07,550786.1
CUST00089,2024-07,536891.4
CUST00847,2024-07,531200.1
CUST00459,2024-07,524876.4
CUST00385,2024-07,523075.2
CUST00608,2024-07,519881.75
CUST00953,2024-07,518755.0
CUST00138,2024-07,517239.1
CUST00647,2024-07,513830.65
CUST00442,2024-07,513342.6
CUST00461,2024-07,511354.85
CUST00020,2024-07,506083.65
CUST00898,2024-07,493337.35
CUST00241,2024-07,492352.5
CUST00782,2024-07,487520.65
CUST00405,2024-07,487251.65
CUST00377,2024-07,486318.4
CUST00086,2024-07,477973.4
CUST00849,2024-07,474929.9
CUST00874,2024-07,472887.3
CUST00634,2024-07,463889.85
CUST00676,2024-07,451129.6
CUST00656,2024-07,447551.2
CUST00710,2024-07,442157.3
CUST00481,2024-07,428007.0
CUST00724,2024-07,423893.75
CUST00795,2024-07,418051.55
CUST00745,2024-07,406522.4
CUST00875,2024-07,404897.0
CUST00823,2024-07,402544.2
CUST00369,2024-07,394366.2
CUST00829,2024-07,393619.3
CUST00133,2024-07,393186.8
CUST00426,2024-07,390713.1
CUST00236,2024-07,390392.9
CUST00818,2024-07,381295.5
CUST00387,2024-07,373441.8
CUST00601,2024-07,373187.2
CUST00868,2024-07,372526.6
CUST00232,2024-07,368483.25
CUST00812,2024-07,360709.5
CUST00366,2024-07,359955.0
CUST00323,2024-07,358404.0
CUST00686,2024-07,353623.6
CUST00078,2024-07,338746.15
CUST00472,2024-07,338742.45
CUST00435,2024-07,338158.2
CUST00090,2024-07,332682.9
CUST00329,2024-07,332051.85
CUST00595,2024-07,330569.55
CUST00927,2024-07,321084.0
CUST00504,2024-07,318554.3
CUST00061,2024-07,317348.7
CUST00045,2024-07,315960.3
CUST00637,2024-07,314782.55
CUST00811,2024-07,313820.2
CUST00178,2024-07,299386.6
CUST00912,2024-07,297820.8
CUST00878,2024-07,295598.0
CUST00211,2024-07,292715.9
CUST00534,2024-07,289396.15
CUST00979,2024-07,288071.6
CUST00098,2024-07,281293.0
CUST00982,2024-07,280382.8
CUST00908,2024-07,278782.0
CUST00187,2024-07,276177.8
CUST00610,2024-07,274780.6
CUST00212,2024-07,268907.75
CUST00351,2024-07,268857.3
CUST00570,2024-07,266723.2
CUST00858,2024-07,263361.1
CUST00859,2024-07,261888.5
CUST00218,2024-07,242445.3
CUST00124,2024-07,241979.0
CUST00643,2024-07,241138.5
CUST00128,2024-07,241053.1
CUST00896,2024-07,239720.7
CUST00973,2024-07,237667.7
CUST00179,2024-07,236759.65
CUST00064,2024-07,236578.3
CUST00970,2024-07,236485.3
CUST00480,2024-07,235694.7
CUST00822,2024-07,233760.6
CUST00113,2024-07,232435.8
CUST00191,2024-07,229923.9
CUST00488,2024-07,226641.3
CUST00857,2024-07,225097.6
CUST00272,2024-07,225069.8
CUST00077,2024-07,223445.05
CUST00545,2024-07,222110.45
CUST00975,2024-07,210653.05
CUST00624,2024-07,205286.25
CUST00788,2024-07,203532.0
CUST00557,2024-07,200530.0
CUST00755,2024-07,197959.4
CUST00012,2024-07,187167.45
CUST00871,2024-07,184794.0
CUST00685,2024-07,180529.2
CUST00771,2024-07,172339.8
CUST00434,2024-07,170099.6
CUST00756,2024-07,163787.2
CUST00190,2024-07,161394.0
CUST00723,2024-07,158456.2
CUST00311,2024-07,156700.0
CUST00289,2024-07,151909.9
CUST00537,2024-07,147880.0
CUST00244,2024-07,142077.6
CUST00395,2024-07,137124.0
CUST00382,2024-07,131868.0
CUST00404,2024-07,131074.25
CUST00489,2024-07,130813.0
CUST00630,2024-07,129533.9
CUST00252,2024-07,128725.2
CUST00773,2024-07,128432.0
CUST00156,2024-07,118059.0
CUST00672,2024-07,116456.1
CUST00819,2024-07,108387.2
CUST00493,2024-07,104446.4
CUST00930,2024-07,102581.0
CUST00581,2024-07,99857.85
CUST00688,2024-07,97541.25
CUST00352,2024-07,97064.5
CUST00364,2024-07,91964.75
CUST00590,2024-07,90382.35
CUST00229,2024-07,88684.8
CUST00905,2024-07,88128.0
CUST00553,2024-07,86721.0
CUST00863,2024-07,86419.5
CUST00749,2024-07,80870.3
CUST00583,2024-07,78683.4
CUST00825,2024-07,77517.0
CUST00996,2024-07,76959.0
CUST00062,2024-07,70087.4
CUST00281,2024-07,64042.0
CUST00440,2024-07,60131.4
CUST00325,2024-07,47910.0
CUST00146,2024-07,42144.0
CUST00168,2024-07,41428.8
CUST00826,2024-07,32611.6
CUST00054,2024-07,32512.0
CUST00040,2024-07,31219.0
CUST00361,2024-07,30283.8
CUST00555,2024-07,7866.0
CUST00714,2024-07,7424.25
CUST00296,2024-07,7407.15
CUST00613,2024-07,5591.7
CUST00176,2024-07,4588.8
CUST00917,2024-07,4424.0
CUST00216,2024-07,3886.0
CUST00072,2024-07,2667.0
CUST00957,2024-07,2500.4
CUST00587,2024-07,2154.6
CUST00674,2024-08,1402042.45
CUST00839,2024-08,1125736.8
CUST00950,2024-08,1074494.9
CUST00852,2024-08,1027796.0
CUST00274,2024-08,916271.7
CUST00581,2024-08,900786.9500000001
CUST00598,2024-08,893045.0
CUST00557,2024-08,788751.4
CUST00018,2024-08,727567.45
CUST00335,2024-08,727121.7
CUST00780,2024-08,716859.0
CUST00217,2024-08,679106.8
CUST00713,2024-08,666423.1
CUST00749,2024-08,661416.4
CUST00938,2024-08,656125.6
CUST00095,2024-08,638645.8
CUST00579,2024-08,617656.6
CUST00269,2024-08,616232.2
CUST00817,2024-08,606745.5
CUST00784,2024-08,605669.45
CUST00840,2024-08,599229.3
CUST00436,2024-08,595796.2
CUST00686,2024-08,588775.2
CUST00636,2024-08,567637.1000000001
CUST00592,2024-08,567491.6
CUST00994,2024-08,562518.6
CUST00207,2024-08,557374.4
CUST00861,2024-08,543119.3
CUST00179,2024-08,540081.4
CUST00343,2024-08,536504.0
CUST00847,2024-08,533660.65
CUST00661,2024-08,532937.1
CUST00589,2024-08,531051.0
CUST00669,2024-08,526601.9
CUST00625,2024-08,525960.2
CUST00476,2024-08,517799.7
CUST00324,2024-08,517396.1
CUST00507,2024-08,511340.6
CUST00958,2024-08,509827.45
CUST00129,2024-08,500205.3
CUST00884,2024-08,474702.8
CUST00440,2024-08,474092.1
CUST00215,2024-08,472405.95
CUST00023,2024-08,470119.35
CUST00509,2024-08,460147.6
CUST00374,2024-08,457088.45
CUST00360,2024-08,456678.0
CUST00003,2024-08,453074.69999999995
CUST00090,2024-08,441592.6
CUST00803,2024-08,440668.8
CUST00263,2024-08,439426.5
CUST00251,2024-08,414147.35
CUST00942,2024-08,409320.2
CUST00619,2024-08,405702.4
CUST00255,2024-08,404363.4
CUST00629,2024-08,401660.45
CUST00547,2024-08,398631.2
CUST00972,2024-08,395692.3
CUST00087,2024-08,392866.0
CUST00570,2024-08,391752.8
CUST00077,2024-08,391556.4
CUST00527,2024-08,388157.5
CUST00512,2024-08,387761.8
CUST00497,2024-08,382434.8
CUST00631,2024-08,377133.35
CUST00458,2024-08,375238.8
CUST00050,2024-08,363200.15
CUST00442,2024-08,362178.6
CUST00766,2024-08,359224.0
CUST00606,2024-08,358781.35
CUST00202,2024-08,358360.3
CUST00292,2024-08,355953.0
CUST00599,2024-08,355916.0
CUST00285,2024-08,342849.6
CUST00617,2024-08,340520.0
CUST00123,2024-08,340379.0
CUST00725,2024-08,338317.5
CUST00088,2024-08,327138.7
CUST00381,2024-08,324187.2
CUST00256,2024-08,321933.0
CUST00239,2024-08,319272.9
CUST00976,2024-08,317439.0
CUST00154,2024-08,316599.0
CUST00821,2024-08,306329.6
CUST00024,2024-08,304099.1
CUST00205,2024-08,298485.2
CUST00151,2024-08,298155.6
CUST00609,2024-08,291771.65
CUST00769,2024-08,290146.7
CUST00291,2024-08,288021.0
CUST00110,2024-08,279144.4
CUST00288,2024-08,271680.35
CUST00287,2024-08,266853.0
CUST00776,2024-08,263623.6
CUST00038,2024-08,262616.0
CUST00094,2024-08,262120.65
CUST00930,2024-08,260539.2
CUST00211,2024-08,255493.6
CUST00575,2024-08,252718.05
CUST00683,2024-08,246156.4
CUST00786,2024-08,245240.6
CUST00238,2024-08,244974.5
CUST00005,2024-08,242380.35
CUST00654,2024-08,242342.2
CUST00400,2024-08,241794.85
CUST00706,2024-08,239942.4
CUST00344,2024-08,233277.8
CUST00426,2024-08,232368.0
CUST00320,2024-08,231223.35
CUST00158,2024-08,225876.6
CUST00487,2024-08,220145.4
CUST00047,2024-08,219830.7
CUST00514,2024-08,218657.4
CUST00420,2024-08,217398.0
CUST00529,2024-08,216775.7
CUST00684,2024-08,216135.3
CUST00771,2024-08,206823.6
CUST00984,2024-08,206402.45
CUST00319,2024-08,206063.0
CUST00881,2024-08,202578.8
CUST00136,2024-08,188815.35
CUST00325,2024-08,187744.5
CUST00882,2024-08,183057.6
CUST00493,2024-08,174022.2
CUST00334,2024-08,171604.1
CUST00873,2024-08,167273.8
CUST00895,2024-08,166418.4
CUST00673,2024-08,165219.0
CUST00779,2024-08,164584.7
CUST00777,2024-08,164167.8
CUST00190,2024-08,163838.0
CUST00974,2024-08,163698.75
CUST00549,2024-08,163588.4
CUST00017,2024-08,163454.4
CUST00011,2024-08,161883.1
CUST00841,2024-08,157534.2
CUST00464,2024-08,154886.85
CUST00688,2024-08,152494.2
CUST00785,2024-08,150838.0
CUST00628,2024-08,148702.65
CUST00145,2024-08,145961.0
CUST00395,2024-08,145660.0
CUST00037,2024-08,145314.0
CUST00554,2024-08,143760.7
CUST00633,2024-08,133616.9
CUST00072,2024-08,132373.2
CUST00522,2024-08,131575.0
CUST00006,2024-08,131124.7
CUST00830,2024-08,126406.9
CUST00855,2024-08,120900.8
CUST00762,2024-08,118398.0
CUST00002,2024-08,115604.0
CUST00473,2024-08,111092.2
CUST00587,2024-08,106504.0
CUST00443,2024-08,97038.8
CUST00811,2024-08,94988.35
CUST00172,2024-08,94587.15
CUST00836,2024-08,87668.8
CUST00453,2024-08,80214.1
CUST00438,2024-08,78687.4
CUST00070,2024-08,75608.35
CUST00120,2024-08,72368.15
CUST00981,2024-08,70563.6
CUST00565,2024-08,64601.0
CUST00478,2024-08,62427.0
CUST00747,2024-08,61114.5
CUST00745,2024-08,60429.1
CUST00793,2024-08,59358.0
CUST00385,2024-08,58277.7
CUST00992,2024-08,56619.0
CUST00685,2024-08,55516.2
CUST00130,2024-08,55438.2
CUST00013,2024-08,50410.1
CUST00194,2024-08,47440.8
CUST00642,2024-08,46408.0
CUST00709,2024-08,44080.2
CUST00029,2024-08,40280.4
CUST00885,2024-08,36642.0
CUST00027,2024-08,30832.2
CUST00148,2024-08,29588.55
CUST00054,2024-08,26931.0
CUST00668,2024-08,22576.3
CUST00408,2024-08,20440.0
CUST00893,2024-08,18639.0
CUST00792,2024-08,12475.8
CUST00923,2024-08,11424.0
CUST00144,2024-08,10004.4
CUST00750,2024-08,6854.0
CUST00264,2024-08,5278.0
CUST00537,2024-08,4615.2
CUST00467,2024-08,2354.4
CUST00112,2024-09,1138528.0
CUST00694,2024-09,1075991.8
CUST00728,2024-09,1030565.3999999999
CUST00948,2024-09,1014717.4
CUST00941,2024-09,943199.3
CUST00720,2024-09,939981.75
CUST00837,2024-09,856196.3
CUST00949,2024-09,813464.5
CUST00559,2024-09,809348.4
CUST00385,2024-09,790282.2
CUST00943,2024-09,751343.0
CUST00544,2024-09,740021.05
CUST00500,2024-09,725164.1
CUST00364,2024-09,704614.2
CUST00874,2024-09,701445.4
CUST00190,2024-09,673631.5
CUST00005,2024-09,665614.8
CUST00933,2024-09,649015.3
CUST00918,2024-09,633554.7
CUST00781,2024-09,626153.3
CUST00833,2024-09,610968.55
CUST00654,2024-09,596900.8
CUST00427,2024-09,590685.0
CUST00338,2024-09,588655.8
CUST00926,2024-09,584957.6
CUST00898,2024-09,562138.4
CUST00343,2024-09,555778.4
CUST00738,2024-09,553205.1
CUST00530,2024-09,551201.2
CUST00455,2024-09,550632.6
CUST00230,2024-09,547876.0
CUST00810,2024-09,541981.1
CUST00670,2024-09,541456.3
CUST00875,2024-09,516814.4
CUST00577,2024-09,513672.15
CUST00042,2024-09,511161.8
CUST00806,2024-09,510751.5
CUST00041,2024-09,509835.1
CUST00206,2024-09,509581.05
CUST00911,2024-09,498284.9
CUST00023,2024-09,473585.85
CUST00985,2024-09,466424.85
CUST00363,2024-09,458417.0
CUST00390,2024-09,455212.4
CUST00822,2024-09,453861.15
CUST00803,2024-09,452699.8
CUST00998,2024-09,451363.4
CUST00504,2024-09,450859.7
CUST00060,2024-09,440745.6
CUST00599,2024-09,438965.3
CUST00872,2024-09,432606.6
CUST00191,2024-09,428405.95
CUST00068,2024-09,411761.25
CUST00905,2024-09,396135.9
CUST00462,2024-09,382408.9
CUST00262,2024-09,378822.7
CUST00580,2024-09,374334.7
CUST00331,2024-09,373435.5
CUST00019,2024-09,369682.4
CUST00074,2024-09,368524.0
CUST00211,2024-09,360840.6
CUST00122,2024-09,360227.45
CUST00800,2024-09,359839.5
CUST00656,2024-09,358590.5
CUST00105,2024-09,357788.15
